Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty,Variant Command
3321476,6159,3845.0,34,UPDATE
3321478,7079,4424.0,34,UPDATE
3321482,8129,5077.0,16,UPDATE
3321484,8029,5016.0,16,UPDATE
3321488,7959,4973.0,34,UPDATE
3321490,7879,4919.0,34,UPDATE
3321506,9329,5828.0,16,UPDATE
3321508,9209,5754.0,16,UPDATE
3321510,9229,5766.0,25,UPDATE
3321512,9119,5699.0,25,UPDATE
3321514,5279,3298.0,25,UPDATE
3321516,5349,3338.0,25,UPDATE
3324617,5089,3178.0,15,UPDATE
3324644,5389,3365.0,9,UPDATE
3324836,4129,2577.0,2,UPDATE
3329049,599,370.0,31,UPDATE
3329054,649,405.0,5,UPDATE
3329099,3019,1887.0,12,UPDATE
3329101,4099,2557.0,12,UPDATE
3329105,4119,2571.0,12,UPDATE
3329107,4019,2512.0,12,UPDATE
3329109,5039,3150.0,12,UPDATE
3329939,2549,1588.0,191,UPDATE
3329946,2839,1775.0,44,UPDATE
3329948,2729,1701.0,85,UPDATE
3329963,2459,1533.0,191,UPDATE
3329970,2739,1710.0,45,UPDATE
3329972,2569,1606.0,85,UPDATE
3329988,2729,1701.0,45,UPDATE
3329990,2559,1597.0,85,UPDATE
3330035,2449,1530.0,190,UPDATE
3330042,2719,1697.0,44,UPDATE
3330044,2559,1598.0,85,UPDATE
3330053,2449,1530.0,190,UPDATE
3330060,2719,1700.0,44,UPDATE
3330062,2569,1601.0,85,UPDATE
3330071,2449,1531.0,190,UPDATE
3330078,2719,1698.0,44,UPDATE
3330080,2559,1599.0,85,UPDATE
3330089,2449,1529.0,190,UPDATE
3330096,2719,1699.0,44,UPDATE
3330098,2559,1600.0,85,UPDATE
3330143,2459,1536.0,190,UPDATE
3330150,2679,1671.0,44,UPDATE
3330152,2579,1607.0,85,UPDATE
3330161,2509,1563.0,148,UPDATE
3330169,1789,1113.0,148,UPDATE
3330170,2629,1639.0,85,UPDATE
3330179,2499,1560.0,54,UPDATE
3330182,2149,1338.0,54,UPDATE
3330187,1779,1107.0,54,UPDATE
3330188,2619,1633.0,54,UPDATE
3330190,4159,2598.0,54,UPDATE
3330192,4169,2601.0,54,UPDATE
3330227,2649,1652.0,173,UPDATE
3330229,2079,1299.0,36,UPDATE
3330233,1919,1197.0,130,UPDATE
3330234,2599,1619.0,107,UPDATE
